,Data,Variable,Discerption
0,E Comm,CustomerID,Unique customer ID
1,E Comm,Churn,Churn Flag
2,E Comm,Tenure,Tenure of customer in organization
3,E Comm,PreferredLoginDevice,Preferred login device of customer
4,E Comm,CityTier,City tier
5,E Comm,WarehouseToHome,Distance in between warehouse to home of customer
6,E Comm,PreferredPaymentMode,Preferred payment method of customer
7,E Comm,Gender,Gender of customer
8,E Comm,HourSpendOnApp,Number of hours spend on mobile application or website
9,E Comm,NumberOfDeviceRegistered,Total number of deceives is registered on particular customer
10,E Comm,PreferedOrderCat,Preferred order category of customer in last month
11,E Comm,SatisfactionScore,Satisfactory score of customer on service
12,E Comm,MaritalStatus,Marital status of customer
13,E Comm,NumberOfAddress,Total number of added added on particular customer
14,E Comm,Complain,Any complaint has been raised in last month
15,E Comm,OrderAmountHikeFromlastYear,Percentage increases in order from last year
16,E Comm,CouponUsed,Total number of coupon has been used in last month
17,E Comm,OrderCount,Total number of orders has been places in last month
18,E Comm,DaySinceLastOrder,Day Since last order by customer
19,E Comm,CashbackAmount,Average cashback in last month
